Name,Age,Season,Transfer_fee,pac,dri,sho,def,pas,phy
David Odonkor,22,2006-2007,6500000,,,,,,
Mohamed Zidan,25,2007-2008,6500000,,,,,,
Daniele Mannini,24,2007-2008,6500000,,,,,,
Sébastien Squillaci,27,2008-2009,6500000,,,,,,
Yoan Gouffran,22,2008-2009,6500000,,,,,,
Jozy Altidore,18,2008-2009,6500000,,,,,,
Aleksandr Kerzhakov,27,2009-2010,6500000,,,,,,
Sylvain Distin,31,2009-2010,6500000,,,,,,
Souleymane Diawara,30,2009-2010,6500000,,,,,,
Florent Sinama-Pongolle,25,2009-2010,6500000,,,,,,
Gervinho,22,2009-2010,6500000,,,,,,
Mark González,25,2009-2010,6500000,,,,,,
Álvaro Pereira,23,2009-2010,6500000,,,,,,
Sébastien Squillaci,30,2010-2011,6500000,,,,,,
Issiar Dia,23,2010-2011,6500000,,,,,,
Tino Costa,25,2010-2011,6500000,,,,,,
Víctor Montaño,26,2010-2011,6500000,,,,,,
Mattia Destro,19,2010-2011,6500000,,,,,,
Ju-yeong Park,26,2011-2012,6500000,,,,,,
Alexander Merkel,19,2011-2012,6500000,,,,,,
Luís Neto,24,2012-2013,6500000,,,,,,
Alberto Paloschi,23,2012-2013,6500000,,,,,,
Daniel Carvajal,21,2013-2014,6500000,,,,,,
Benoît Trémoulinas,27,2013-2014,6500000,,,,,,
Tino Costa,28,2013-2014,6500000,,,,,,
Libor Kozak,24,2013-2014,6500000,,,,,,
Diego Souza,28,2013-2014,6500000,,,,,,
Marko Livaja,20,2014-2015,6500000,,,,,,
Yacine Brahimi,24,2014-2015,6500000,,,,,,
Wendell,20,2014-2015,6500000,,,,,,
Carlos Tévez,31,2015-2016,6500000,,,,,,
Robin van Persie,31,2015-2016,6500000,,,,,,
Kyriakos Papadopoulos,23,2015-2016,6500000,,,,,,
Lewis Holtby,24,2015-2016,6500000,,,,,,
Zé Luís,24,2015-2016,6500000,,,,,,
Steven Berghuis,23,2015-2016,6500000,,,,,,
Sidnei,25,2015-2016,6500000,,,,,,
Lamine Koné,27,2015-2016,6500000,,,,,,
Xuesheng Dong,26,2015-2016,6500000,,,,,,
Alex Telles,23,2016-2017,6500000,,,,,,
Douglas Santos,22,2016-2017,6500000,,,,,,
Matt Phillips,25,2016-2017,6500000,,,,,,
Hiroshi Kiyotake,26,2016-2017,6500000,,,,,,
Jhon Córdoba,23,2016-2017,6500000,,,,,,
Willy Boly,25,2016-2017,6500000,,,,,,
Simone Verdi,24,2016-2017,6500000,,,,,,
Lys Mousset,20,2016-2017,6500000,,,,,,
Valentino Lazaro,22,2018-2019,6500000,,,,,,
Lucas Castro,29,2018-2019,6500000,,,,,,
Ramadan Sobhi,21,2018-2019,6500000,,,,,,
Raphinha,21,2018-2019,6500000,,,,,,
Riza Durmisi,24,2018-2019,6500000,,,,,,
Ronaldo Vieira,20,2018-2019,6500000,,,,,,
Henri Camara,28,2005-2006,6450000,,,,,,
Joan Capdevila,23,2001-2002,6400000,,,,,,
Charles N'Zogbia,22,2008-2009,6400000,,,,,,
Aaron Ramsey,17,2008-2009,6400000,,,,,,
Fabrice Muamba,20,2008-2009,6400000,,,,,,
Tal Ben Haim,26,2008-2009,6400000,,,,,,
Emmanuel Adebayor,28,2012-2013,6400000,,,,,,
Edimilson Fernandes,20,2016-2017,6400000,,,,,,
Clinton Morrison,23,2002-2003,6380000,,,,,,
Raúl Ruidíaz,27,2018-2019,6360000,,,,,,
Ricardo Quaresma,19,2003-2004,6350000,,,,,,
Callum McManaman,23,2014-2015,6350000,,,,,,
Giovani dos Santos,26,2015-2016,6350000,,,,,,
Jordon Mutch,23,2014-2015,6340000,,,,,,
Emmanuel Rivière,24,2014-2015,6320000,,,,,,
Alex Nyarko,26,2000-2001,6300000,,,,,,
Bob Peeters,26,2000-2001,6300000,,,,,,
Stephen Makinwa,22,2006-2007,6300000,,,,,,
Juan,28,2007-2008,6300000,,,,,,
César Delgado,26,2007-2008,6300000,,,,,,
Luis Jiménez,24,2008-2009,6300000,,,,,,
Valon Behrami,23,2008-2009,6300000,,,,,,
Steve Sidwell,25,2008-2009,6300000,,,,,,
Felipe,25,2010-2011,6300000,,,,,,
Taison,22,2010-2011,6300000,,,,,,
Aurélien Chedjou,28,2013-2014,6300000,,,,,,
Gary Hooper,25,2013-2014,6300000,,,,,,
Mirko Vucinic,30,2014-2015,6300000,,,,,,
Bruno Ecuele Manga,26,2014-2015,6300000,,,,,,
Ashkan Dejagah,28,2014-2015,6300000,,,,,,
César Sánchez,28,2000-2001,6250000,,,,,,
Carlos Gamarra,29,2000-2001,6250000,,,,,,
Matteo Sereni,26,2001-2002,6250000,,,,,,
Bart Goor,28,2001-2002,6250000,,,,,,
Frank Rost,29,2002-2003,6250000,,,,,,
Alou Diarra,25,2006-2007,6250000,,,,,,
Younès Kaboul,22,2008-2009,6250000,,,,,,
Ning Jiang,29,2015-2016,6250000,,,,,,
Rubén Olivera,19,2002-2003,6240000,,,,,,
Luciano Figueroa,23,2004-2005,6200000,,,,,,
Vágner Love,20,2004-2005,6200000,,,,,,
Alex Silva,23,2008-2009,6200000,,,,,,
Gökhan Ünal,25,2008-2009,6200000,,,,,,
Savio Nsereko,20,2009-2010,6200000,,,,,,
Gonzalo Bergessio,25,2009-2010,6200000,,,,,,
Jean II Makoun,27,2010-2011,6200000,,,,,,
Marko Arnautovic,21,2010-2011,6200000,,,,,,
Scott Parker,30,2011-2012,6200000,,,,,,
Mathieu Debuchy,27,2012-2013,6200000,,,,,,
Charlie Adam,26,2012-2013,6200000,,,,,,
Antonio Sanabria,18,2014-2015,6200000,,,,,,
Loris Karius,23,2016-2017,6200000,,,,,,
Alex Telles,21,2013-2014,6150000,,,,,,
Patrick M'Boma,29,2000-2001,6100000,,,,,,
John Arne Riise,20,2001-2002,6100000,,,,,,
Claus Jensen,23,2000-2001,6000000,,,,,,
Lucas Bernardi,22,2000-2001,6000000,,,,,,
Alain Goma,28,2000-2001,6000000,,,,,,
Frédéric Déhu,27,2000-2001,6000000,,,,,,
Esteban Fuertes,27,2000-2001,6000000,,,,,,
Milan Rapaic,26,2000-2001,6000000,,,,,,
Sebastián Cejas,26,2000-2001,6000000,,,,,,
Alex,24,2001-2002,6000000,,,,,,
Luke Young,21,2001-2002,6000000,,,,,,
Rory Delap,25,2001-2002,6000000,,,,,,
Goran Bunjevcevic,28,2001-2002,6000000,,,,,,
Antonio Guayre,21,2001-2002,6000000,,,,,,
Gonzalo Sorondo,21,2001-2002,6000000,,,,,,
Zoltan Sebescen,25,2001-2002,6000000,,,,,,
Lamberto Zauli,30,2001-2002,6000000,,,,,,
Michael Ballack,25,2002-2003,6000000,,,,,,
Sylvain Distin,24,2002-2003,6000000,,,,,,
Maxi Rodríguez,21,2002-2003,6000000,,,,,,
Luca Toni,26,2003-2004,6000000,,,,,,
Joseph Yobo,22,2003-2004,6000000,,,,,,
Mido,20,2003-2004,6000000,,,,,,
Wesley Sonck,24,2003-2004,6000000,,,,,,
Branko Boskovic,23,2003-2004,6000000,,,,,,
Didier Drogba,25,2003-2004,6000000,,,,,,
Dean Ashton,21,2004-2005,6000000,,,,,,
Mido,21,2004-2005,6000000,,,,,,
Juliano Belletti,28,2004-2005,6000000,,,,,,
Eduardo Costa,21,2004-2005,6000000,,,,,,
Ricardo Quaresma,20,2004-2005,6000000,,,,,,
Jan Kromkamp,24,2005-2006,6000000,,,,,,
John Utaka,23,2005-2006,6000000,,,,,,
Camel Meriem,25,2005-2006,6000000,,,,,,
Benjani,27,2005-2006,6000000,,,,,,
Joseph Enakarhire,22,2005-2006,6000000,,,,,,
Manuel Pasqual,23,2005-2006,6000000,,,,,,
Valon Behrami,20,2005-2006,6000000,,,,,,
Yasser Al-Qahtani,22,2005-2006,6000000,,,,,,
Emerson Sheik,26,2005-2006,6000000,,,,,,
Costinha,31,2006-2007,6000000,,,,,,
Mark van Bommel,29,2006-2007,6000000,,,,,,
Nikola Zigic,25,2006-2007,6000000,,,,,,
Georgios Seitaridis,25,2006-2007,6000000,,,,,,
Diego,21,2006-2007,6000000,,,,,,
Joris Mathijsen,26,2006-2007,6000000,,,,,,
Ilan,25,2006-2007,6000000,,,,,,
Fernando Navarro,24,2006-2007,6000000,,,,,,
Gary McSheffrey,23,2006-2007,6000000,,,,,,
Sidi Keita,21,2006-2007,6000000,,,,,,
Javi Martínez,17,2006-2007,6000000,,,,,,
Alexis,21,2007-2008,6000000,,,,,,
Franco Semioli,27,2007-2008,6000000,,,,,,
Frédéric Piquionne,28,2007-2008,6000000,,,,,,
Fabrice Muamba,19,2007-2008,6000000,,,,,,
Óscar Ustari,21,2007-2008,6000000,,,,,,
Francesco Tavano,28,2007-2008,6000000,,,,,,
James Beattie,29,2007-2008,6000000,,,,,,
Andy Reid,25,2007-2008,6000000,,,,,,
Jussiê,23,2007-2008,6000000,,,,,,
Zoumana Camara,28,2007-2008,6000000,,,,,,
Ismaël Bangoura,22,2007-2008,6000000,,,,,,
Nenê,26,2007-2008,6000000,,,,,,
Danko Lazovic,24,2007-2008,6000000,,,,,,
Mark González,23,2007-2008,6000000,,,,,,
Phil Jagielka,24,2007-2008,6000000,,,,,,
Ángel López,26,2007-2008,6000000,,,,,,
Gary Cahill,22,2007-2008,6000000,,,,,,
Graziano Pellè,21,2007-2008,6000000,,,,,,
Welliton,20,2007-2008,6000000,,,,,,
Marco Amelia,26,2008-2009,6000000,,,,,,
Fernando Meira,30,2008-2009,6000000,,,,,,
Sébastien Puygrenier,26,2008-2009,6000000,,,,,,
Giovani dos Santos,19,2008-2009,6000000,,,,,,
Gaby Mudingayi,26,2008-2009,6000000,,,,,,
Dudu Cearense,25,2008-2009,6000000,,,,,,
Ognjen Vukojevic,24,2008-2009,6000000,,,,,,
Brandão,28,2008-2009,6000000,,,,,,
Pelé,20,2008-2009,6000000,,,,,,
Roberto Soldado,23,2008-2009,6000000,,,,,,
Aritz Aduriz,27,2008-2009,6000000,,,,,,
Nélson,25,2008-2009,6000000,,,,,,
Mirel Radoi,27,2008-2009,6000000,,,,,,
Baré,26,2008-2009,6000000,,,,,,
Wagner,24,2009-2010,6000000,,,,,,
David Rozehnal,29,2009-2010,6000000,,,,,,
Matuzalém,29,2009-2010,6000000,,,,,,
Alex Teixeira,20,2009-2010,6000000,,,,,,
Keisuke Honda,23,2009-2010,6000000,,,,,,
Iván Marcano,22,2009-2010,6000000,,,,,,
Oscar,18,2009-2010,6000000,,,,,,
Albert Riera,28,2010-2011,6000000,,,,,,
Alex,29,2010-2011,6000000,,,,,,
Jimmy Briand,24,2010-2011,6000000,,,,,,
Mousa Dembélé,23,2010-2011,6000000,,,,,,
Raffaele Palladino,26,2010-2011,6000000,,,,,,
Hatem Ben Arfa,23,2010-2011,6000000,,,,,,
César Azpilicueta,20,2010-2011,6000000,,,,,,
Abdoulay Konko,26,2010-2011,6000000,,,,,,
Sergio Canales,19,2010-2011,6000000,,,,,,
Walter,20,2010-2011,6000000,,,,,,
Guilherme,22,2010-2011,6000000,,,,,,
Lacina Traoré,20,2010-2011,6000000,,,,,,
Jorge Valdivia,26,2010-2011,6000000,,,,,,
Tomas Kalas,17,2010-2011,6000000,,,,,,
Rodrigo,19,2010-2011,6000000,,,,,,
Borja Valero,26,2011-2012,6000000,,,,,,
Adil Rami,25,2011-2012,6000000,,,,,,
Steven Defour,23,2011-2012,6000000,,,,,,
Dani Parejo,22,2011-2012,6000000,,,,,,
Nacho Monreal,25,2011-2012,6000000,,,,,,
Demy de Zeeuw,28,2011-2012,6000000,,,,,,
Emmanuel Rivière,21,2011-2012,6000000,,,,,,
Wesley,24,2011-2012,6000000,,,,,,
Nikola Kalinic,23,2011-2012,6000000,,,,,,
Nabil Dirar,25,2011-2012,6000000,,,,,,
Fernando,30,2011-2012,6000000,,,,,,
Marcelo Moreno,24,2011-2012,6000000,,,,,,
Isco,19,2011-2012,6000000,,,,,,
Gregory van der Wiel,24,2012-2013,6000000,,,,,,
Stéphane Mbia,26,2012-2013,6000000,,,,,,
Rasmus Elm,24,2012-2013,6000000,,,,,,
Aly Cissokho,24,2012-2013,6000000,,,,,,
Vágner Love,28,2012-2013,6000000,,,,,,
Iván Ramis,27,2012-2013,6000000,,,,,,
Wálter Montillo,28,2012-2013,6000000,,,,,,
Modibo Maïga,24,2012-2013,6000000,,,,,,
Luc Castaignos,19,2012-2013,6000000,,,,,,
Alex,30,2012-2013,6000000,,,,,,
Joselu,22,2012-2013,6000000,,,,,,
Jucilei,25,2013-2014,6000000,,,,,,
Giovani dos Santos,24,2013-2014,6000000,,,,,,
Matías Silvestre,28,2013-2014,6000000,,,,,,
Cristián Zapata,26,2013-2014,6000000,,,,,,
Casemiro,21,2013-2014,6000000,,,,,,
Thiago Neves,28,2013-2014,6000000,,,,,,
Timm Klose,25,2013-2014,6000000,,,,,,
Mubarak Wakaso,23,2013-2014,6000000,,,,,,
Roberto,27,2013-2014,6000000,,,,,,
Vicente Iborra,25,2013-2014,6000000,,,,,,
Igor Smolnikov,25,2013-2014,6000000,,,,,,
Pedro León,26,2013-2014,6000000,,,,,,
Renê Júnior,24,2013-2014,6000000,,,,,,
Ezequiel Garay,27,2014-2015,6000000,,,,,,
Valon Behrami,29,2014-2015,6000000,,,,,,
Demba Ba,29,2014-2015,6000000,,,,,,
Jonathan de Guzmán,26,2014-2015,6000000,,,,,,
Giuliano,24,2014-2015,6000000,,,,,,
Michy Batshuayi,20,2014-2015,6000000,,,,,,
Ádám Szalai,26,2014-2015,6000000,,,,,,
Roberto,28,2014-2015,6000000,,,,,,
William Vainqueur,25,2014-2015,6000000,,,,,,
Steven Defour,26,2014-2015,6000000,,,,,,
Admir Mehmedi,23,2014-2015,6000000,,,,,,
Oussama Assaidi,26,2014-2015,6000000,,,,,,
Dorlan Pabón,26,2014-2015,6000000,,,,,,
Daryl Janmaat,25,2014-2015,6000000,,,,,,
Carlos Sánchez,28,2014-2015,6000000,,,,,,
Vitorino Antunes,27,2014-2015,6000000,,,,,,
Filip Kostic,21,2014-2015,6000000,,,,,,
Nani,28,2015-2016,6000000,,,,,,
Mathieu Valbuena,30,2015-2016,6000000,,,,,,
Ivelin Popov,27,2015-2016,6000000,,,,,,
Franco Di Santo,26,2015-2016,6000000,,,,,,
Aaron Lennon,28,2015-2016,6000000,,,,,,
Pedro Obiang,23,2015-2016,6000000,,,,,,
Fabinho,21,2015-2016,6000000,,,,,,
Kiko Casilla,28,2015-2016,6000000,,,,,,
Kevin Wimmer,22,2015-2016,6000000,,,,,,
Stéphane Mbia,29,2015-2016,6000000,,,,,,
Eduardo Vargas,25,2015-2016,6000000,,,,,,
Nemanja Gudelj,23,2015-2016,6000000,,,,,,
Gerard Deulofeu,21,2015-2016,6000000,,,,,,
Claudio Beauvue,27,2015-2016,6000000,,,,,,
Bernard Mensah,20,2015-2016,6000000,,,,,,
Iago Aspas,27,2015-2016,6000000,,,,,,
Daniele Baselli,23,2015-2016,6000000,,,,,,
Gaël Kakuta,24,2015-2016,6000000,,,,,,
Leandro Paredes,21,2015-2016,6000000,,,,,,
Atinc Nukan,21,2015-2016,6000000,,,,,,
Henri Saivet,25,2015-2016,6000000,,,,,,
Daniel Wass,29,2018-2019,6000000,,,,,,
Tomás Rincón,30,2018-2019,6000000,,,,,,
Ante Coric,21,2018-2019,6000000,,,,,,
Okay Yokuslu,24,2018-2019,6000000,,,,,,
Roque Mesa,29,2018-2019,6000000,,,,,,
Leonardo Bittencourt,24,2018-2019,6000000,,,,,,
Zakaria Labyad,25,2018-2019,6000000,,,,,,
Florin Andone,25,2018-2019,6000000,,,,,,
Moussa Niakhaté,22,2018-2019,6000000,,,,,,
Uros Spajic,25,2018-2019,6000000,,,,,,
Walace,23,2018-2019,6000000,,,,,,
Ronaël Pierre-Gabriel,20,2018-2019,6000000,,,,,,
Fabri,30,2018-2019,6000000,,,,,,
Diego Rolan,25,2018-2019,6000000,,,,,,
Majeed Waris,26,2018-2019,6000000,,,,,,
Igor Coronado,25,2018-2019,6000000,,,,,,
Federico Santander,27,2018-2019,6000000,,,,,,
Borna Sosa,20,2018-2019,6000000,,,,,,
Ayoub El Kaabi,25,2018-2019,6000000,,,,,,
William Bianda,18,2018-2019,6000000,,,,,,
Milton Caraglio,29,2018-2019,5980000,,,,,,
Luciano Zauri,25,2003-2004,5950000,,,,,,
Elías Hernández,30,2018-2019,5940000,,,,,,
Steven Davis,22,2007-2008,5900000,,,,,,
Borja Valero,23,2008-2009,5900000,,,,,,
Younès Kaboul,24,2009-2010,5900000,,,,,,
Roger Johnson,26,2009-2010,5900000,,,,,,
Kyle Naughton,20,2009-2010,5900000,,,,,,
Kyle Walker,19,2009-2010,5900000,,,,,,
Jonjo Shelvey,21,2013-2014,5900000,,,,,,
Victor Anichebe,25,2013-2014,5900000,,,,,,
Roman Eremenko,27,2014-2015,5900000,,,,,,
Benjamin Stambouli,24,2014-2015,5900000,,,,,,
Muriqui,28,2014-2015,5900000,,,,,,
Henrikh Mkhitaryan,21,2010-2011,5850000,,,,,,
Zé Elias,23,2000-2001,5800000,,,,,,
David López,24,2007-2008,5800000,,,,,,
Jonás Gutiérrez,25,2008-2009,5800000,,,,,,
Lorik Cana,25,2009-2010,5800000,,,,,,
Djibril Cissé,29,2011-2012,5800000,,,,,,
Bobby Zamora,31,2011-2012,5800000,,,,,,
Giovanni Sio,22,2011-2012,5800000,,,,,,
Danny Graham,27,2012-2013,5800000,,,,,,
André,21,2012-2013,5800000,,,,,,
Stewart Downing,29,2013-2014,5800000,,,,,,
Tom Huddlestone,26,2013-2014,5800000,,,,,,
Matt Phillips,22,2013-2014,5800000,,,,,,
Bremer,21,2018-2019,5800000,,,,,,
Agustín Delgado,27,2001-2002,5750000,,,,,,
Nilmar,20,2004-2005,5750000,,,,,,
Sébastien Frey,26,2006-2007,5750000,,,,,,
Steven Pienaar,30,2012-2013,5750000,,,,,,
Ishak Belfodil,21,2013-2014,5750000,,,,,,
Ishak Belfodil,22,2014-2015,5750000,,,,,,
Joos Valgaeren,24,2000-2001,5700000,,,,,,
Francisco Lima,33,2004-2005,5700000,,,,,,
Edú Dracena,25,2006-2007,5700000,,,,,,
Cristiano Lucarelli,32,2007-2008,5700000,,,,,,
Maxi Pereira,23,2007-2008,5700000,,,,,,
Jesús Dátolo,24,2008-2009,5700000,,,,,,
Tuncay Sanli,27,2009-2010,5700000,,,,,,
Davi,25,2009-2010,5700000,,,,,,
James Collins,26,2009-2010,5700000,,,,,,
Kevin-Prince Boateng,23,2010-2011,5700000,,,,,,
Mehdi Carcela-González,22,2011-2012,5700000,,,,,,
Elkeson,23,2012-2013,5700000,,,,,,
Marquinhos,18,2012-2013,5700000,,,,,,
Antonio Sanabria,17,2013-2014,5700000,,,,,,
Eric Bailly,20,2014-2015,5700000,,,,,,
Éder,31,2018-2019,5700000,,,,,,
André Horta,21,2018-2019,5700000,,,,,,
Paddy McNair,23,2018-2019,5700000,,,,,,
Michel Vorm,30,2014-2015,5690000,,,,,,
Xisco,22,2008-2009,5680000,,,,,,
Ramón,18,2006-2007,5650000,,,,,,
Davide Santon,20,2011-2012,5650000,,,,,,
Joey Gudjónsson,21,2001-2002,5630000,,,,,,
Bernardo Romeo,24,2001-2002,5620000,,,,,,
Paulo Wanchope,24,2001-2002,5600000,,,,,,
Anthony Réveillère,23,2003-2004,5600000,,,,,,
Ezequiel Lavezzi,22,2007-2008,5600000,,,,,,
Maarten Stekelenburg,30,2013-2014,5600000,,,,,,
Hai Yu,27,2014-2015,5600000,,,,,,
David Nugent,30,2015-2016,5600000,,,,,,
João Moutinho,31,2018-2019,5600000,,,,,,
James McClean,29,2018-2019,5600000,,,,,,
Didier Domi,23,2001-2002,5580000,,,,,,
Bülent Akin,21,2000-2001,5500000,,,,,,
Ronald de Boer,30,2000-2001,5500000,,,,,,
Niko Kovac,29,2001-2002,5500000,,,,,,
Shinji Ono,21,2001-2002,5500000,,,,,,
Ariza Makukula,21,2002-2003,5500000,,,,,,
Richard Wright,24,2002-2003,5500000,,,,,,
Leandro Bonfim,18,2002-2003,5500000,,,,,,
Aleksey Smertin,28,2003-2004,5500000,,,,,,
Jerko Leko,23,2003-2004,5500000,,,,,,
Edú,25,2004-2005,5500000,,,,,,
Dario Dainelli,25,2004-2005,5500000,,,,,,
Antonio Cassano,23,2005-2006,5500000,,,,,,
Riccardo Montolivo,20,2005-2006,5500000,,,,,,
Yaya Touré,23,2006-2007,5500000,,,,,,
Fabio Grosso,28,2006-2007,5500000,,,,,,
Daniel Moreira,28,2006-2007,5500000,,,,,,
Mario Santana,24,2006-2007,5500000,,,,,,
Fábio Simplício,26,2006-2007,5500000,,,,,,
Matías Delgado,23,2006-2007,5500000,,,,,,
Juliano Belletti,31,2007-2008,5500000,,,,,,
Marlon Harewood,27,2007-2008,5500000,,,,,,
Glen Johnson,22,2007-2008,5500000,,,,,,
Gelson Fernandes,20,2007-2008,5500000,,,,,,
Marco Andreolli,21,2007-2008,5500000,,,,,,
Fabiano Santacroce,21,2007-2008,5500000,,,,,,
Marek Hamsik,19,2007-2008,5500000,,,,,,
Marko Basa,25,2008-2009,5500000,,,,,,
Joseba Llorente,28,2008-2009,5500000,,,,,,
Milan Baros,26,2008-2009,5500000,,,,,,
George McCartney,27,2008-2009,5500000,,,,,,
Orlando Engelaar,28,2008-2009,5500000,,,,,,
Leandro Rinaudo,25,2008-2009,5500000,,,,,,
Hulk,22,2008-2009,5500000,,,,,,
Bryan Ruíz,23,2009-2010,5500000,,,,,,
Ikechukwu Uche,25,2009-2010,5500000,,,,,,
Sergio Asenjo,20,2009-2010,5500000,,,,,,
Lorenzo De Silvestri,21,2009-2010,5500000,,,,,,
Ismail Köybasi,20,2009-2010,5500000,,,,,,
Gojko Kacar,23,2010-2011,5500000,,,,,,
Mehmet Topal,24,2010-2011,5500000,,,,,,
Tiberio Guarente,24,2010-2011,5500000,,,,,,
Miroslav Stoch,20,2010-2011,5500000,,,,,,
Franco Jara,21,2010-2011,5500000,,,,,,
Ezequiel Garay,24,2011-2012,5500000,,,,,,
Rafinha,25,2011-2012,5500000,,,,,,
Ilkay Gündogan,20,2011-2012,5500000,,,,,,
Bruno César,22,2011-2012,5500000,,,,,,
Ivan Perisic,22,2011-2012,5500000,,,,,,
Leroy Fer,21,2011-2012,5500000,,,,,,
Julian Schieber,23,2012-2013,5500000,,,,,,
Eren Derdiyok,24,2012-2013,5500000,,,,,,
Dusan Tadic,23,2012-2013,5500000,,,,,,
Eljero Elia,25,2012-2013,5500000,,,,,,
Ángelo Henríquez,18,2012-2013,5500000,,,,,,
Leroy Fer,23,2013-2014,5500000,,,,,,
Bruno Alves,31,2013-2014,5500000,,,,,,
Luciano Vietto,20,2014-2015,5500000,,,,,,
Sime Vrsaljko,22,2014-2015,5500000,,,,,,
Oliver Baumann,24,2014-2015,5500000,,,,,,
Rickie Lambert,32,2014-2015,5500000,,,,,,
Alberto Gilardino,32,2014-2015,5500000,,,,,,
Luuk de Jong,23,2014-2015,5500000,,,,,,
Grzegorz Krychowiak,24,2014-2015,5500000,,,,,,
Oumar Niasse,24,2014-2015,5500000,,,,,,
Alexander Büttner,25,2014-2015,5500000,,,,,,
Diego Tardelli,29,2014-2015,5500000,,,,,,
Andrea Belotti,20,2014-2015,5500000,,,,,,
Isaac Brizuela,24,2014-2015,5500000,,,,,,
Hanchao Yu,27,2014-2015,5500000,,,,,,
Ezequiel Lavezzi,30,2015-2016,5500000,,,,,,
Vincenzo Grifo,25,2018-2019,5500000,,,,,,
Fabio Borini,27,2018-2019,5500000,,,,,,
Ishak Belfodil,26,2018-2019,5500000,,,,,,
Denzel Dumfries,22,2018-2019,5500000,,,,,,
Angeliño,21,2018-2019,5500000,,,,,,
Fernando,19,2018-2019,5500000,,,,,,
Christian Poulsen,30,2010-2011,5480000,,,,,,
Falcao,23,2009-2010,5430000,,,,,,
Fernando Ricksen,23,2000-2001,5400000,,,,,,
Duncan Ferguson,28,2000-2001,5400000,,,,,,
Giorgi Demetradze,24,2000-2001,5400000,,,,,,
Stephen Makinwa,21,2004-2005,5400000,,,,,,
Joel Huiqui,21,2004-2005,5400000,,,,,,
Souleymane Diawara,27,2006-2007,5400000,,,,,,
Ewerton,23,2012-2013,5400000,,,,,,
Wallace Oliveira,18,2012-2013,5400000,,,,,,
Pape Souaré,24,2014-2015,5330000,,,,,,
Christian Bassedas,27,2000-2001,5300000,,,,,,
José Luis Chilavert,35,2000-2001,5300000,,,,,,
Marius Niculae,20,2001-2002,5300000,,,,,,
Markus Rosenberg,22,2005-2006,5300000,,,,,,
Phil Neville,28,2005-2006,5300000,,,,,,
Cristian Ledesma,23,2006-2007,5300000,,,,,,
Jimmy Bullard,30,2008-2009,5300000,,,,,,
Mauro Boselli,23,2008-2009,5300000,,,,,,
Samuel Inkoom,21,2010-2011,5300000,,,,,,
Maxi Moralez,24,2011-2012,5300000,,,,,,
Édgar Barreto,27,2011-2012,5300000,,,,,,
Matt Mills,24,2011-2012,5300000,,,,,,
Ezequiel Schelotto,23,2012-2013,5300000,,,,,,
Maicosuel,26,2012-2013,5300000,,,,,,
Vladimír Weiss,24,2013-2014,5300000,,,,,,
Dwight Gayle,22,2013-2014,5300000,,,,,,
David López,24,2014-2015,5300000,,,,,,
Hernane,28,2014-2015,5300000,,,,,,
Sylvain Legwinski,28,2001-2002,5250000,,,,,,
Jon Harley,21,2001-2002,5250000,,,,,,
Nicolás Medina,19,2001-2002,5250000,,,,,,
Gary Rowett,28,2002-2003,5250000,,,,,,
Matt Piper,20,2002-2003,5250000,,,,,,
Michael Ricketts,24,2002-2003,5250000,,,,,,
Frédéric Kanouté,25,2003-2004,5250000,,,,,,
Rafael Márquez,24,2003-2004,5250000,,,,,,
Steve Finnan,27,2003-2004,5250000,,,,,,
Olivier Dacourt,28,2003-2004,5250000,,,,,,
Gerard Piqué,17,2004-2005,5250000,,,,,,
Simon Davies,25,2005-2006,5250000,,,,,,
Emiliano Bonazzoli,27,2006-2007,5250000,,,,,,
Grétar Steinsson,25,2007-2008,5250000,,,,,,
Adrian Mierzejewski,24,2011-2012,5250000,,,,,,
Diego Tardelli,27,2012-2013,5250000,,,,,,
Sean Davis,24,2004-2005,5200000,,,,,,
Slobodan Rajkovic,16,2005-2006,5200000,,,,,,
Arturo Vidal,20,2007-2008,5200000,,,,,,
Robert Earnshaw,26,2007-2008,5200000,,,,,,
Benjani,29,2007-2008,5200000,,,,,,
Greg Halford,22,2007-2008,5200000,,,,,,
Renato Augusto,20,2008-2009,5200000,,,,,,
Houssine Kharja,26,2009-2010,5200000,,,,,,
Gylfi Sigurdsson,20,2010-2011,5200000,,,,,,
Nicola Pozzi,24,2010-2011,5200000,,,,,,
Federico Marchetti,28,2011-2012,5200000,,,,,,
Bryan Cristante,19,2014-2015,5200000,,,,,,
Carlos Eduardo,21,2018-2019,5200000,,,,,,
Carlos Izquierdoz,29,2018-2019,5150000,,,,,,
Jesús Gallardo,23,2018-2019,5150000,,,,,,
Ronaldinho,21,2001-2002,5100000,,,,,,
Victor Agali,22,2001-2002,5100000,,,,,,
Rafael van der Vaart,22,2005-2006,5100000,,,,,,
James McCarthy,18,2009-2010,5100000,,,,,,
Mauricio Pinilla,26,2010-2011,5100000,,,,,,
Shane Long,24,2011-2012,5100000,,,,,,
Rodriguinho,30,2018-2019,5100000,,,,,,
Yimmi Chará,27,2018-2019,5100000,,,,,,
Ricky van Wolfswinkel,22,2011-2012,5080000,,,,,,
Marko Livaja,19,2012-2013,5050000,,,,,,
Roberto Ayala,27,2000-2001,5000000,,,,,,
Viorel Moldovan,28,2000-2001,5000000,,,,,,
Vratislav Gresko,23,2000-2001,5000000,,,,,,
